2014,1,1,3,0.57358432,0.14072356,1,0.85738
2014,1,2,4,0.5761686,0.0725215748,1,0.91990
2014,1,3,5,0.39380938,0.40611029,1,0.93262
2014,1,4,6,0.13237144,0.49813604,1,0.89279
2014,1,5,7,-0.16897354,0.20512308,1,0.80095
2014,1,6,1,-0.2668018,0.19063523,1,0.66052
2014,1,7,2,-0.25454116,0.0632831976,1,0.47744
2014,1,8,3,-0.0423134677,0.0835817829,1,0.25981
2014,1,9,4,0.0719513744,-0.0682493299,8,0.02730
2014,1,10,5,0.19874588,-0.37452549,5,0.24446
2014,1,11,6,0.3533814,-0.28740275,5,0.50709
2014,1,12,7,0.93729436,-0.0286840275,5,0.76407
2014,1,13,1,1.1141484,-0.0234074946,5,1.00532
2014,1,14,2,1.1591125,0.12920165,5,1.22213
2014,1,15,3,1.1150118,0.43477267,5,1.40729
2014,1,16,4,1.2063398,0.7991026,5,1.55534
2014,1,17,5,1.0368376,1.0666925,5,1.66275
2014,1,18,6,0.73746049,1.0355674,5,1.72789
2014,1,19,7,0.72304463,1.2984067,5,1.75102
2014,1,20,1,1.015331,1.731792,6,1.73411
2014,1,21,2,0.93325239,2.1409094,6,1.68067
2014,1,22,3,0.58284664,2.1388199,6,1.59551
2014,1,23,4,0.35084987,2.2250216,6,1.48467
2014,1,24,5,0.20752342,2.3757188,6,1.35552
2014,1,25,6,0.0293060485,2.166688,6,1.21727
2014,1,26,7,-0.0554384701,2.1351342,8,1.08206
2014,1,27,1,-0.0720469058,1.6434183,8,0.96650
2014,1,28,2,0.0581173524,1.3964051,8,0.89179
2014,1,29,3,0.34401926,1.3242325,8,0.87823
2014,1,30,4,0.37874112,1.1207263,8,0.93303
2014,1,31,5,0.15840502,1.0826024,1,1.04443
2014,2,1,6,-0.14289413,1.2679355,1,1.19055
2014,2,2,7,-0.20891166,1.2107453,1,1.34980
2014,2,3,1,-0.055036258,1.0918201,1,1.50454
2014,2,4,2,-0.0237531085,0.59742093,2,1.64091
2014,2,5,3,0.0954842642,-0.0586432777,2,1.74809
2014,2,6,4,0.47887316,-0.20654139,2,1.81813
2014,2,7,5,1.0082667,-0.19123995,2,1.84595
2014,2,8,6,1.0127128,0.0397209153,2,1.82971
2014,2,9,7,1.0529152,0.0634761155,2,1.77114
2014,2,10,1,1.2641258,0.0702797621,4,1.67591
2014,2,11,2,1.1745949,0.11785365,4,1.55391
2014,2,12,3,1.1075133,-0.047519464,4,1.41932
2014,2,13,4,0.86737168,0.23122306,4,1.29013
2014,2,14,5,0.89828664,0.4528797,4,1.18608
2014,2,15,6,0.86364406,0.8135345,4,1.12339
2014,2,16,7,0.74782705,1.2061987,4,1.10748
2014,2,17,1,0.72714269,1.629763,5,1.12946
2014,2,18,2,0.87455958,1.689538,5,1.17119
2014,2,19,3,0.76398724,1.7977892,5,1.21395
2014,2,20,4,0.44138327,1.7258002,6,1.24423
2014,2,21,5,0.21507955,1.6585411,6,1.25534
2014,2,22,6,-0.24050462,1.5881268,6,1.24712
2014,2,23,7,-0.77272725,1.4633785,6,1.22462
