2010,1,1,1.08669,-1.39387,3
2010,1,2,1.14817,-1.23405,3
2010,1,3,1.17451,-1.07058,4
2010,1,4,1.15976,-0.91861,4
2010,1,5,1.15170,-0.73913,4
2010,1,6,1.13484,-0.55484,4
2010,1,7,1.08657,-0.31563,4
2010,1,8,1.03824,-0.14685,4
2010,1,9,0.96927,-0.00585,4
2010,1,10,0.89258,0.15541,5
2010,1,11,0.85845,0.35490,5
2010,1,12,0.84950,0.52682,5
2010,1,13,0.86190,0.65237,5
2010,1,14,0.87737,0.74797,5
2010,1,15,0.81371,0.84394,6
2010,1,16,0.70766,0.91514,6
2010,1,17,0.52819,1.00650,6
2010,1,18,0.33947,1.11089,6
2010,1,19,0.15998,1.20127,6
2010,1,20,-0.04883,1.29850,7
2010,1,21,-0.28163,1.39686,7
2010,1,22,-0.53291,1.50196,7
2010,1,23,-0.77471,1.61693,7
2010,1,24,-0.99506,1.68038,7
2010,1,25,-1.18843,1.68721,7
2010,1,26,-1.36351,1.65341,7
2010,1,27,-1.43565,1.62575,7
2010,1,28,-1.50975,1.55129,7
2010,1,29,-1.57884,1.44787,8
2010,1,30,-1.64469,1.33748,8
2010,1,31,-1.73332,1.17734,8
2010,2,1,-1.77470,1.01086,8
2010,2,2,-1.81512,0.81741,8
2010,2,3,-1.87279,0.63987,8
2010,2,4,-1.94970,0.44518,8
2010,2,5,-2.06880,0.20320,8
2010,2,6,-2.19540,0.01064,8
2010,2,7,-2.27353,-0.20667,1
2010,2,8,-2.27293,-0.41461,1
2010,2,9,-2.22796,-0.57728,1
2010,2,10,-2.15280,-0.74544,1
2010,2,11,-2.05013,-0.88601,1
2010,2,12,-1.84745,-1.04253,1
2010,2,13,-1.58155,-1.14561,1
2010,2,14,-1.24714,-1.22363,1
2010,2,15,-0.86352,-1.29207,2
2010,2,16,-0.47343,-1.33327,2
2010,2,17,-0.15245,-1.32753,2
2010,2,18,0.12000,-1.27086,3
2010,2,19,0.32738,-1.19138,3
2010,2,20,0.49225,-1.10935,3
2010,2,21,0.58301,-0.98806,3
2010,2,22,0.61500,-0.80972,3
2010,2,23,0.58110,-0.65333,3
2010,2,24,0.49942,-0.53381,3
2010,2,25,0.39730,-0.42089,3
2010,2,26,0.28389,-0.34280,3
2010,2,27,0.20226,-0.29926,3
2010,2,28,0.17031,-0.26330,3
2010,3,1,0.15780,-0.26040,3
2010,3,2,0.17604,-0.30258,3
2010,3,3,0.25421,-0.35926,3
2010,3,4,0.36184,-0.38990,3
