,0
2014-01-01,-1176.1078817734087
2014-01-02,5594.225451559934
2014-01-03,4114.11434044881
2014-01-04,-6749.107881773409
2014-01-05,-18438.218992884504
2014-01-06,3573.5587848932773
2014-01-07,5752.225451559934
2014-01-08,6765.781007115496
2014-01-09,6419.447673782153
2014-01-10,8726.003229337715
2014-01-11,-3236.1078817734087
2014-01-12,-13091.107881773409
2014-01-13,7154.447673782153
2014-01-14,9041.336562671058
2014-01-15,9331.225451559934
2014-01-16,8859.781007115496
2014-01-17,9575.781007115496
2014-01-18,-3323.3301039956277
2014-01-19,-15450.107881773409
2014-01-20,3371.2254515599343
2014-01-21,4308.558784893277
2014-01-22,5123.225451559934
2014-01-23,4186.669896004372
2014-01-24,6271.11434044881
2014-01-25,-8966.996770662285
2014-01-26,-18782.218992884504
2014-01-27,-2065.4412151067227
2014-01-28,2655.6698960043723
2014-01-29,5685.003229337715
2014-01-30,8093.225451559934
2014-01-31,10983.781007115496
2014-02-01,-4646.218992884504
2014-02-02,-17687.88565955119
2014-02-03,3486.7810071154963
2014-02-04,4379.892118226591
2014-02-05,1418.0032293377153
2014-02-06,3758.4476737821533
2014-02-07,5110.781007115496
2014-02-08,-5857.663437328942
2014-02-09,-15259.218992884504
2014-02-10,2059.2254515599343
2014-02-11,5508.892118226591
2014-02-12,6718.558784893277
2014-02-13,8265.781007115496
2014-02-14,10595.892118226591
2014-02-15,-3633.7745484400657
2014-02-16,-13729.441215106723
2014-02-17,3699.4476737821533
2014-02-18,5870.892118226591
2014-02-19,6060.11434044881
2014-02-20,6442.11434044881
2014-02-21,5940.781007115496
2014-02-22,-7982.218992884504
2014-02-23,-17589.552326217847
2014-02-24,-594.9967706622847
2014-02-25,2498.5587848932773
2014-02-26,4982.225451559934
2014-02-27,6356.003229337715
2014-02-28,6858.11434044881
2014-03-01,-7874.339371980663
2014-03-02,-17946.228260869568
2014-03-03,-668.2282608695677
2014-03-04,2510.2161835748702
2014-03-05,531.7717391304323
2014-03-06,3302.2161835748702
2014-03-07,6923.882850241556
2014-03-08,-4738.339371980663
2014-03-09,-15968.117149758444
2014-03-10,2480.4384057971183
2014-03-11,1714.8828502415563
2014-03-12,-423.8949275362247
2014-03-13,1268.4384057971183
2014-03-14,4840.438405797118
2014-03-15,-6543.894927536225
2014-03-16,-17413.339371980663
2014-03-17,2061.9939613526512
2014-03-18,3467.8828502415563
2014-03-19,1679.5495169082133
2014-03-20,4921.771739130432
2014-03-21,7292.882850241556
2014-03-22,-4924.228260869568
2014-03-23,-16808.450483091787
2014-03-24,4202.771739130432
2014-03-25,6515.438405797118
2014-03-26,9469.105072463775
2014-03-27,8629.549516908213
2014-03-28,8965.105072463775
2014-03-29,-3368.7838164251298
2014-03-30,-13997.339371980663
2014-03-31,-1198.0060386473488
2014-04-01,1206.1050724637753
2014-04-02,3386.2161835748702
2014-04-03,9792.882850241556
2014-04-04,10192.993961352651
2014-04-05,-593.1171497584437
2014-04-06,-11015.006038647349
2014-04-07,5163.660628019337
2014-04-08,6569.327294685994
2014-04-09,3905.2161835748702
2014-04-10,3009.9939613526512
2014-04-11,8875.327294685994
2014-04-12,-283.45048309178674
2014-04-13,-11545.006038647349
2014-04-14,6404.771739130432
2014-04-15,10535.549516908213
2014-04-16,7086.771739130432
2014-04-17,5102.105072463775
2014-04-18,-13277.561594202882
2014-04-19,-9887.78381642513
2014-04-20,-14224.117149758444
2014-04-21,2952.1050724637753
2014-04-22,6976.882850241556
2014-04-23,6184.771739130432
2014-04-24,7440.882850241556
2014-04-25,9340.771739130432
2014-04-26,-5499.78381642513
2014-04-27,-14015.894927536225
2014-04-28,238.99396135265124
2014-04-29,5090.549516908213
2014-04-30,5237.327294685994
2014-05-01,120.99396135265124
2014-05-02,6124.105072463775
2014-05-03,-3732.7838164251298
2014-05-04,-14085.450483091787
2014-05-05,2300.9939613526512
2014-05-06,2338.2161835748702
2014-05-07,3103.8828502415563
2014-05-08,4716.882850241556
2014-05-09,7515.882850241556
2014-05-10,-2208.1171497584437
2014-05-11,-12381.006038647349
2014-05-12,546.1050724637753
2014-05-13,3426.4384057971183
2014-05-14,4159.549516908213
2014-05-15,4043.4384057971183
2014-05-16,5040.993961352651
2014-05-17,-6382.450483091787
2014-05-18,-15297.894927536225
2014-05-19,-268.1171497584437
2014-05-20,4851.771739130432
2014-05-21,-1111.0060386473488
2014-05-22,5080.771739130432
2014-05-23,3891.3272946859943
2014-05-24,-5075.339371980663
2014-05-25,-13801.672705314006
2014-05-26,-517.4504830917867
2014-05-27,4805.327294685994
2014-05-28,1676.7717391304323
2014-05-29,-144.56159420288168
2014-05-30,2791.4384057971183
2014-05-31,-7049.117149758444
2014-06-01,-15282.292270531383
2014-06-02,3287.596618357493
2014-06-03,4766.152173913055
2014-06-04,3302.596618357493
2014-06-05,3567.818840579712
2014-06-06,8106.485507246369
2014-06-07,-369.7367149758502
2014-06-08,-7960.625603864726
2014-06-09,2843.485507246369
2014-06-10,4109.596618357493
